143,Redfield Muni,1D8,1,Approved,,,2012-01-25 03:18:24.0
11244,Unknown,1E4,1,Approved,,,2012-01-25 03:18:24.0
1145090,Unknown,1E8,1,Approved,,,2012-01-25 03:18:24.0
11246,Unknown,1E9,1,Approved,,,2012-01-25 03:18:24.0
144,Ardmore Aviation,1F0,1,Approved,Mon - Sat 0800-1700 Sun 1300-1700,Mon - Sat 0800-1700 Sun 1300-1700,2013-11-14 13:45:39.0
11247,Unknown,1F1,1,Approved,,,2012-01-25 03:18:24.0
1145091,Unknown,1F2,1,Approved,,,2012-01-25 03:18:24.0
146,Phil-Air Aviation,1F4,1,Approved,,,2012-01-25 03:18:24.0
1145092,Unknown,1F5,1,Approved,,,2012-01-25 03:18:24.0
1145093,Unknown,1F6,1,Approved,,,2012-01-25 03:18:24.0
147,Airpark East,1F7,1,Approved,,,2012-01-25 03:18:24.0
149,Wood County Regional Airport,1G0,1,Approved,"0800-1700 /M-Sat, 0800-1500 Sun","0800-1700 /M-Sat, 0800-1500 Sun",2013-11-14 13:45:39.0
150,Elyria Aviation,1G1,1,Approved,,,2012-01-25 03:18:24.0
151,Commercial Aviation,1G3,9,Approved,,,2012-01-25 03:18:24.0
1156929,Kent State Airport,1G3,1,Approved,0700-1900 / 7 days a week,0700-1700 / 7 days a week,2013-11-14 13:46:09.0
10873,Gcw Operations,1G4,1,Approved,,,2012-01-25 03:18:24.0
152,Flight Services - Medina,1G5,1,Approved,,,2012-01-25 03:18:24.0
1145095,Unknown,1G6,1,Approved,,,2012-01-25 03:18:24.0
11248,Unknown,1G8,1,Approved,,,2012-01-25 03:18:24.0
11249,Creve Coeur Airport,1H0,1,Approved,0800-2100 M-F / 0730-2100 S-S,0800-2100 M-F / 0730-2100 S-S,2013-04-05 18:19:25.0
1145096,Unknown,1H1,1,Approved,,,2012-01-25 03:18:24.0
153,Tate Flying Service,1H2,1,Approved,,,2013-11-14 18:20:50.0
1145097,Unknown,1H3,1,Approved,,,2012-01-25 03:18:24.0
1145098,Unknown,1H4,1,Approved,,,2012-01-25 03:18:24.0
154,Willow Springs Arpt,1H5,1,Approved,,,2012-01-25 03:18:24.0
11250,Unknown,1H6,1,Approved,,,2012-01-25 03:18:24.0
156,Casey Flying Boostrs,1H8,1,Approved,,,2012-01-25 03:18:24.0
11251,Unknown,1I3,1,Approved,,,2012-01-25 03:18:24.0
1145100,Unknown,1I5,1,Approved,,,2012-01-25 03:18:24.0
11252,Fbo Facility Not Available,1I7,1,Approved,,,2012-01-25 03:18:24.0
11253,Unknown,1I8,1,Approved,,,2012-01-25 03:18:24.0
157,Professional Pilots,1I9,1,Approved,,,2012-01-25 03:18:24.0
158,Tri County Aviation,1J0,1,Approved,,,2012-01-25 03:18:24.0
11254,Unknown,1J6,1,Approved,,,2012-01-25 03:18:24.0
11255,Unknown,1J9,1,Approved,,,2012-01-25 03:18:24.0
159,Benton Airport,1K1,1,Approved,,,2013-11-14 13:45:39.0
1145102,Unknown,1K2,1,Approved,,,2012-01-25 03:18:24.0
11256,Unknown,1K3,1,Approved,,,2012-01-25 03:18:24.0
4229,Air Travel Company,1K4,1,Approved,,,2012-01-25 03:18:24.0
11257,Unknown,1K5,1,Approved,,,2012-01-25 03:18:24.0
11258,Unknown,1K6,1,Approved,,,2012-01-25 03:18:24.0
11259,Unknown,1K7,1,Approved,,,2012-01-25 03:18:24.0
1145103,South Grand Lake Municipal Airport Managing Author,1K8,1,Approved,,,2012-01-25 03:18:24.0
160,Satanta Muni Arpt,1K9,1,Approved,,,2012-01-25 03:18:24.0
9030,St. John,1L0,1,Approved,,,2012-01-25 03:18:24.0
161,Lincoln Co Airport,1L1,1,Approved,,,2012-01-25 03:18:24.0
11260,Unknown,1L3,1,Approved,,,2012-01-25 03:18:24.0
11261,Unknown,1L4,1,Approved,,,2012-01-25 03:18:24.0
162,Escalante Aviation,1L7,1,Approved,,,2012-01-25 03:18:24.0
11262,Unknown,1L8,1,Approved,,,2012-01-25 03:18:24.0
163,Paroair,1L9,1,Approved,,,2012-01-25 03:18:24.0
11263,Unknown,1M2,1,Approved,,,2012-01-25 03:18:24.0
11264,Unknown,1M3,1,Approved,,,2012-01-25 03:18:24.0
167,Bailey Aviation,1M4,1,Approved,,0800-1700/7 days a week,2013-11-14 13:45:39.0
168,Portland Gen Av / Comments,1M5,1,Approved,0800-1700 / 7 days a week,,2013-11-14 13:45:39.0
11266,Unknown,1M7,1,Approved,,,2012-01-25 03:18:24.0
