SATM,MDX,,MERCEDES,MERCEDES,,ARG,America/Argentina/Cordoba,344,5906,-105214,-209104,0,1,0,NO
SATO,,,OBERA,OBERA,,ARG,America/Argentina/Cordoba,1125,5905,-99077,-198439,0,0,0,NO
SATR,RCQ,,RECONQUISTA,RECONQUISTA,,ARG,America/Argentina/Cordoba,161,9186,-105157,-214848,1,1,0,NO
SATU,UZU,,CURUZU CUATIA,CURUZU CUATIA,,ARG,America/Argentina/Cordoba,246,7054,-107220,-208860,0,0,0,NO
SAVB,EHL,,EL BOLSON,EL BOLSON,,ARG,America/Argentina/Salta,1131,4265,-151079,-257464,0,0,0,NO
SAVC,CRD,SCBA,GEN ENRIQUE MOSCONI,COMODORO RIVADAVIA,,ARG,America/Argentina/Catamarca,189,9219,-164827,-242876,1,0,1,NO
SAVD,EMX,,EL MAITEN,EL MAITEN,,ARG,America/Argentina/Catamarca,2356,4961,-151320,-256140,0,0,0,NO
SAVE,EQS,,BRIG. GRAL. ANTONIO PARODI,ESQUEL,,ARG,America/Argentina/Catamarca,2621,7874,-154454,-256088,1,1,0,NO
SAVN,OES,,ANTOINE DE SAINT EXUPERY,SAN ANTONIO OESTE,,ARG,America/Argentina/Salta,85,5906,-146702,-234127,0,0,0,NO
SAVQ,MQD,,MAQUINCHAO,MAQUINCHAO,,ARG,America/Argentina/Salta,2913,3773,-148500,-247440,0,0,0,NO
SAVR,ARR,,D.CASIMIRO SZLAPELIS,ALTO RIO SENGUERR,,ARG,America/Argentina/Catamarca,2287,4593,-162060,-254880,0,0,0,NO
SAVS,SGV,,SIERRA GRANDE,SIERRA GRANDE,,ARG,America/Argentina/Salta,689,4593,-149731,-235258,0,0,0,NO
SAVT,REL,,ALMIRANTE ZAR,TRELEW,,ARG,America/Argentina/Catamarca,141,8399,-155558,-234973,1,1,1,NO
SAVV,VDM,,GOBERNADOR CASTELLO,VIEDMA,,ARG,America/Argentina/Salta,20,8366,-147133,-226788,1,1,0,NO
SAVY,PMY,,EL TEHUELCHE,PUERTO MADRYN,,ARG,America/Argentina/Catamarca,427,8202,-153933,-234370,1,1,0,NO
SAWA,ING,,LAGO ARGENTINO,LAGO ARGENTINO,,ARG,America/Argentina/Rio_Gallegos,732,3937,-181219,-260096,0,0,0,NO
SAWC,FTE,SAWG,EL CALAFATE,EL CALAFATE,,ARG,America/Argentina/Rio_Gallegos,669,8366,-181008,-259392,1,0,0,NO
SAWD,PUD,,PUERTO DESEADO,PUERTO DESEADO,,ARG,America/Argentina/Rio_Gallegos,269,4920,-171841,-237299,0,0,0,NO
SAWE,RGA,SAWH,RIO GRANDE,RIO GRANDE,,ARG,America/Argentina/Ushuaia,65,6562,-193599,-243900,1,1,1,NO
SAWG,RGL,SAWE,NORBERTO FERNANDEZ,RIO GALLEGOS,,ARG,America/Argentina/Rio_Gallegos,61,11644,-185792,-249526,1,1,1,NO
SAWH,USH,SAWE,MALVINAS ARGENTINAS,USHUAIA,,ARG,America/Argentina/Ushuaia,102,9186,-197436,-245864,1,1,1,NO
SAWJ,ULA,,CAP. D. JOSE D. VASQUEZ,SAN JULIAN,,ARG,America/Argentina/Rio_Gallegos,190,6562,-177514,-244084,0,0,0,NO
SAWM,ROY,,RIO MAYO,RIO MAYO,,ARG,America/Argentina/Catamarca,1785,4921,-164540,-252934,0,0,0,NO
SAWP,PMQ,,PERITO MORENO,PERITO MORENO,,ARG,America/Argentina/Rio_Gallegos,1411,5577,-167532,-255546,0,0,0,NO
SAWR,GGS,,GOBERNADOR GREGORES,GOBERNADOR GREGORES,,ARG,America/Argentina/Rio_Gallegos,1168,4921,-175621,-252579,0,1,0,NO
SAWS,JSM,,JOSE DE SAN MARTIN,JOSE DE SAN MARTIN,,ARG,America/Argentina/Catamarca,2398,4921,-158610,-253560,0,0,0,NO
SAWT,,,28 DE NOVIEMBRE,EL TURBIO,,ARG,America/Argentina/Rio_Gallegos,895,3937,-185793,-259998,0,0,0,NO
SAWU,RZA,,SANTA CRUZ,SANTA CRUZ,,ARG,America/Argentina/Rio_Gallegos,364,6562,-180080,-246881,0,0,0,NO
SAZA,,,AZUL,AZUL,,ARG,America/Argentina/Buenos_Aires,478,4593,-132620,-215580,0,0,0,NO
SAZB,BHI,,COMANDANTE ESPORA NAS,BAHIA BLANCA,,ARG,America/Argentina/Buenos_Aires,246,8579,-139418.05,-223752.15,1,1,0,NO
SAZC,,,BRIG D HECTOR EDUARDO RUIZ,CORONEL SUAREZ,,ARG,America/Argentina/Buenos_Aires,767,4265,-134759,-222782,0,0,0,NO
SAZE,,,PIGUE,PIGUE,,ARG,America/Argentina/Buenos_Aires,997,4593,-135360,-224580,0,0,0,NO
SAZF,,,OLAVARRIA,OLAVARRIA,,ARG,America/Argentina/Buenos_Aires,551,7218,-132800,-216820,0,1,0,NO
SAZG,GPO,,GENERAL PICO,GENERAL PICO,,ARG,America/Argentina/Salta,459,7710,-128501,-229532,1,1,0,NO
SAZH,OYO,,TRES ARROYOS,TRES ARROYOS,,ARG,America/Argentina/Buenos_Aires,400,3934,-138240,-217200,0,0,0,NO
SAZI,,,BOLIVAR,BOLIVAR,,ARG,America/Argentina/Buenos_Aires,308,3937,-130320,-219840,0,1,0,NO
SAZJ,,,JUAREZ,JUAREZ,,ARG,America/Argentina/Buenos_Aires,696,3478,-135720,-215220,0,0,0,NO
SAZL,SST,,SANTA TERESITA,SANTA TERESITA,,ARG,America/Argentina/Buenos_Aires,10,4921,-131552,-204197,0,0,0,NO
SAZM,MDQ,,ASTOR PIAZZOLLA,MAR DEL PLATA,,ARG,America/Argentina/Buenos_Aires,71,7218,-136563,-207264,1,1,0,NO
SAZN,NQN,SAZS,PRESIDENTE PERON,NEUQUEN,,ARG,America/Argentina/Salta,895,8432,-140216,-245361,1,1,1,NO
SAZO,NEC,,NECOCHEA,NECOCHEA,,ARG,America/Argentina/Buenos_Aires,72,4921,-138540,-211740,0,1,0,NO
SAZP,PEH,,COMODORO P. ZANNI,PEHUAJO,,ARG,America/Argentina/Buenos_Aires,279,4921,-129028,-222687,0,1,0,NO
SAZQ,,,RIO COLORADO,RIO COLORADO,,ARG,America/Argentina/Salta,276,3068,-140400,-230880,0,0,0,NO
SAZR,RSA,SAEZ,SANTA ROSA,SANTA ROSA,,ARG,America/Argentina/Salta,630,7546,-131718,-231393,1,1,0,NO
SAZS,BRC,SAZN,S C DE BARILOCHE,S C DE BARILOCHE,,ARG,America/Argentina/Salta,2774,7703,-148144,-256168,1,1,1,NO
SAZT,TDL,,HEROES DE MALVINAS,TANDIL,,ARG,America/Argentina/Buenos_Aires,574,8366,-134043,-213223,1,1,0,NO
SAZV,VLG,,VILLA GESELL,VILLA GESELL,,ARG,America/Argentina/Buenos_Aires,33,5709,-134044.1,-205286.1,0,0,0,NO
SAZW,CUT,,CUTRAL-CO,CUTRAL-CO,,ARG,America/Argentina/Salta,2132,5558,-140160,-249300,0,1,0,NO
SAZX,,,NUEVE DE JULIO,NUEVE DE JULIO,,ARG,America/Argentina/Buenos_Aires,246,4101,-127440,-219240,0,0,0,NO
SAZY,CPC,SAZS,AVIADOR C. CAMPOS,SAN MARTIN DE LOS ANDES,,ARG,America/Argentina/Salta,2569,8202,-144271,-256094,1,1,0,NO
SBHB,,,AEROCLUB,BAHIA BLANCA,,ARG,America/Argentina/Buenos_Aires,49,3937,-139199,-224463,0,0,0,NO
TRW,,,AEROCLUB,TRELEW,,ARG,America/Argentina/Catamarca,127,5413,-155639,-235143,0,0,0,NO
UDLS,,,STEPANAVAN INTL,STEPANAVAN,,ARM,Asia/Yerevan,4836,6562,147774,159613,1,1,1,NO
UDSG,LWN,UDYZ,SHIRAK,GYUMRI,,ARM,Asia/Yerevan,5000,10564,146701,157893,1,1,0,NO
UDYE,,UDYZ,EREBUNI,YEREVAN,,ARM,Asia/Yerevan,2955,8694,144439,160074,1,1,1,NO
UDYZ,EVN,UDSG,ZVARTNOTS,YEREVAN,,ARM,Asia/Yerevan,2838,12631,144530,159825,1,1,1,NO
